,Name,Pos,Org,Top 100,Org Rk,Age_x,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId,avg_fastest_speed,avg_spin,K/9,IP,BB/9,Age_y,ERA,height,weight,throws
20,Tahnaj Thomas,SP,PIT,90.0,7,22.3138888,,Rise,70 / 80,45 / 55,,30 / 40,35 / 60,2300.0,2400.0,"['93', '98']",100.0,50,sa3003066,95.5,2350.0,11.38,68.0,3.57,—,3.573529312,"6' 4""",190,R
21,Hunter Brown,SP,HOU,93.0,3,23.1111111,,Cut/Rise,60 / 60,50 / 55,60 / 70,40 / 50,30 / 45,2300.0,2500.0,"['92', '95']",97.0,50,sa3010571,93.5,2400.0,12.8,23.2,6.98,—,4.563373784,"6' 2""",212,R
22,Seth Johnson,SP,TBR,94.0,6,23.0555555,,Rise,55 / 60,50 / 60,45 / 50,40 / 45,30 / 50,2400.0,2650.0,"['92', '97']",99.0,50,sa3011342,94.5,2525.0,8.47,17.0,1.59,—,2.117647059,"6' 0""",200,R
23,Aaron Ashby,MIRP,MIL,96.0,1,23.375,,Tail,55 / 60,55 / 60,55 / 60,45 / 50,30 / 40,2050.0,2300.0,"['94', '97']",98.0,50,23550,95.5,2175.0,9.87,183.2,4.27,—,3.528131929,"6' 1""",181,L
24,Matt Canterino,MIRP,MIN,97.0,6,23.8194444,,Cut/Rise,50 / 55,55 / 60,50 / 55,55 / 60,40 / 45,2200.0,2450.0,"['90', '93']",95.0,50,sa3011530,91.5,2325.0,11.16,25.0,3.6,—,1.44,"6' 2""",222,R
25,MacKenzie Gore,SP,SDP,101.0,4,22.625,,Rise,60 / 60,50 / 55,50 / 50,50 / 60,40 / 55,2150.0,2000.0,"['91', '95']",97.0,50,sa3005068,93.0,2075.0,11.67,161.2,3.01,—,2.727834547,"6' 3""",197,L
26,Bryan Mata,MIRP,BOS,,5,22.4333333,,Sink,60 / 60,45 / 45,50 / 50,55 / 60,40 / 50,2500.0,2600.0,"['93', '96']",99.0,45+,sa917784,94.5,2550.0,8.75,177.0,6.25,—,3.457627119,"6' 3""",238,R
27,Cole Winn,SP,TEX,,5,21.8722222,,,50 / 55,45 / 50,50 / 55,50 / 55,35 / 50,2350.0,2500.0,"['92', '94']",96.0,45+,sa3008662,93.0,2425.0,8.58,68.2,5.54,—,4.456308369,"6' 2""",190,R
28,Brailyn Marquez,SIRP,CHC,,6,22.6916666,,Sink/Tail,70 / 80,45 / 45,,50 / 55,30 / 35,2250.0,2250.0,"['93', '97']",100.0,45+,21896,95.0,2250.0,10.65,158.1,4.27,—,3.12631653,"6' 4""",240,L
29,Alec Marsh,SP,KCR,,3,23.4027777,,,60 / 60,50 / 55,50 / 50,45 / 50,35 / 50,2400.0,2350.0,"['94', '97']",100.0,45+,sa1159950,95.5,2375.0,10.33,33.1,1.09,—,4.050003862,"6' 2""",225,R
30,Jackson Rutledge,SP,WSN,,5,22.5222222,,,70 / 70,60 / 70,45 / 50,45 / 50,30 / 40,2450.0,2350.0,"['95', '98']",101.0,45+,sa3011338,96.5,2400.0,9.46,37.1,4.37,—,3.1339314,"6' 8""",245,R
31,Clarke Schmidt,SP,NYY,,7,25.6361111,5/3/2017,Sink,60 / 60,,70 / 70,40 / 45,45 / 45,2350.0,3000.0,"['91', '95']",96.0,45+,19899,93.0,2675.0,10.42,114.0,3.16,—,3.394737978,"6' 1""",205,R
32,Yoendrys Gomez,SP,NYY,,8,21.9833333,,Rise/Tail,55 / 60,,50 / 55,40 / 50,40 / 55,2500.0,2550.0,"['93', '96']",98.0,45+,sa3004650,94.5,2525.0,8.91,104.0,4.93,—,3.115381644,"6' 3""",215,R
33,Blake Walston,SP,ARI,,7,20.2805555,,Rise,40 / 45,40 / 45,55 / 70,45 / 55,25 / 55,2150.0,,"['88', '92']",93.0,45+,sa3011814,90.0,,13.91,11.0,1.64,—,2.454545455,"6' 4""",175,L
34,Lyon Richardson,SP,CIN,,5,21.725,,Rise,45 / 50,45 / 50,50 / 50,45 / 55,45 / 55,2250.0,2500.0,"['89', '93']",95.0,45+,sa3007727,91.0,2375.0,8.29,141.2,3.63,—,4.764694677,"6' 2""",192,R
35,Ryan Pepiot,MIRP,LAD,,5,24.1333333,,Rise,55 / 60,,50 / 55,60 / 70,35 / 45,2450.0,2800.0,"['90', '93']",94.0,45+,sa3011244,91.5,2625.0,12.08,23.1,5.84,—,1.928574214,"6' 3""",215,R
36,JJ Goss,SP,TBR,,10,20.7888888,,Tail,50 / 55,50 / 55,,,35 / 55,2600.0,2400.0,"['91', '94']",96.0,45+,sa3011420,92.5,2500.0,8.47,17.0,1.59,—,5.823529412,"6' 3""",185,R
37,Brennan Malone,SP,PIT,,12,21.0861111,,Sink,55 / 60,50 / 55,50 / 55,40 / 50,35 / 50,2300.0,2300.0,"['92', '96']",99.0,45,sa3011741,94.0,2300.0,9.0,8.0,5.63,—,4.5,"6' 5""",210,R
38,Noah Song,SP,BOS,,7,24.3638888,,Rise/Tail,55 / 60,50 / 55,50 / 55,40 / 45,40 / 50,2350.0,2500.0,"['93', '95']",99.0,45,sa3011695,94.0,2425.0,10.06,17.0,2.65,—,1.058823529,"6' 4""",200,R
39,Cody Bolton,SP,PIT,,14,23.3055555,,Sink,50 / 50,55 / 55,,50 / 50,50 / 50,2450.0,2600.0,"['92', '95']",97.0,45,sa3004975,93.5,2525.0,9.06,146.0,2.34,—,3.390410959,"6' 3""",185,R
40,Connor Seabold,SP,BOS,,8,25.7083333,,Rise,45 / 50,50 / 50,45 / 45,55 / 60,55 / 60,,,"['90', '93']",94.0,45,19695,91.5,,9.18,186.2,2.61,—,3.664284458,"6' 2""",190,R
41,Wilkelman Gonzalez,SP,BOS,,9,19.2944444,,Rise/Tail,55 / 60,50 / 55,,55 / 60,25 / 50,,2900.0,"['94', '96']",98.0,45,sa3008687,95.0,,8.59,46.1,5.27,—,3.302160539,"6' 0""",170,R
42,Reese Olson,SP,DET,,7,22.1916666,,Rise,55 / 60,60 / 60,50 / 55,60 / 60,30 / 40,,,"['93', '96']",97.0,45,sa3008513,94.5,,7.71,105.0,5.06,—,4.714285629,"6' 1""",160,R
43,Yerry Rodriguez,SP,TEX,,9,23.9833333,,Tail,50 / 55,50 / 55,,50 / 55,45 / 50,2500.0,2700.0,"['92', '96']",98.0,45,sa918130,94.0,2600.0,11.04,136.2,2.44,—,2.436584697,"6' 2""",198,R
44,Joey Wentz,SP,DET,,9,24.0083333,3/17/2020,Cut/Rise,45 / 45,,45 / 50,55 / 60,45 / 55,2350.0,2350.0,"['88', '92']",94.0,45,sa917946,90.0,2350.0,8.76,195.2,3.64,—,3.541737039,"6' 5""",209,L
45,Ethan Small,SP,MIL,,5,24.6527777,1/1/2016,RIse,50 / 55,,40 / 45,55 / 60,45 / 55,2200.0,2400.0,"['91', '94']",96.0,45,sa3011621,92.5,2300.0,15.43,21.0,1.71,—,0.857142857,"6' 3""",214,L
46,Abner Uribe,SIRP,MIL,,9,21.3027777,,Rise/Tail,80 / 80,55 / 60,,,30 / 40,,,"['98', '101']",103.0,45,sa3008177,99.5,,8.97,28.1,8.01,—,5.717647748,"6' 2""",200,R
47,Jairo Solis,SP,HOU,,4,21.7972222,6/28/21*,Cut/Rise,60 / 60,50 / 50,60 / 60,45 / 55,30 / 45,2300.0,2500.0,"['92', '95']",97.0,45,sa3003037,93.5,2400.0,9.14,50.2,6.1,—,3.55262935,"6' 2""",205,R
48,Ethan Elliott,SP,SDP,,5,24.4472222,,,45 / 45,45 / 50,,55 / 60,45 / 60,,,"['88', '92']",93.0,45,sa3010380,90.0,,9.72,35.2,1.28,—,1.766353566,"6' 3""",180,L
49,Alexander Vizcaino,SIRP,CHC,,12,24.3805555,,Tail,60 / 60,45 / 50,,60 / 70,30 / 35,2150.0,2500.0,"['93', '97']",98.0,45,sa920272,95.0,2325.0,9.62,173.0,3.85,—,4.630057752,"6' 2""",175,R
